"Slow Click Event Element Path","Avg Slow Time"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_LEFT_RAIL_Panel.leftRail.folder-MTR-113153 Finish the federation contacts-handle contact presence.MTR-113153 Finish the federation contacts-handle contact presence.MTR-113153 Finish the federation contacts-handle contact presence-header","1,954"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_LEFT_RAIL_Panel.leftRail.folder-MTR-113153 Finish the federation contacts-handle contact presence.MTR-113153 Finish the federation contacts-handle contact presence.MTR-113153 Finish the federation contacts-handle contact presence-header.conversation-list-section-header-arrow-down","1,954"
"root.NECF-Confirm-dialog.out-of-country-checkbox","1,952"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_LEFT_RAIL_Panel.leftRail.folder-Batch 13.Batch 13.conversation-collapse.conversation-list-item","1,952"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_LEFT_RAIL_Panel.leftRail.folder-Call Audit.Call Audit.conversation-collapse.conversation-list-item.no-search-highlight-text","1,936"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_LEFT_RAIL_Panel.leftRail.folder-RC+HR.RC+HR.conversation-collapse.conversation-list-item","1,928"
"root.VersatileResponsiveLayout-SETTING.SETTING_CONTENT_PANEL_Panel.settingPage-audio.settingSection-audioInput","1,921"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_LEFT_RAIL_Panel.leftRail.folder-CM Chats.CM Chats.CM Chats-header.conversation-list-section-header-arrow-up","1,907"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_LEFT_RAIL_Panel.leftRail.folder-ITSM CORE.ITSM CORE.ITSM CORE-header.conversation-list-section-header-arrow-up","1,896"
"root.deleteSmsConfirmDialog","1,886"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_LEFT_RAIL_Panel.leftRail.folder-Client Partners.Client Partners.conversation-collapse.conversation-list-item.no-search-highlight-text","1,876"
"root.inboxTab__tab.inboxTab__leftPanel.inboxTab__leftPanel.sms-unread.sms-unread-list.virtualized-list.sms-item.phone__item--primaryInfo.phone__contact--primaryInfo.no-search-highlight-text","1,867"
"root.join-meeting-recent-list.join-recent-list-item-667667667.multiple-call-item-info","1,856"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_LEFT_RAIL_Panel.leftRail.folder-Tier 3 only.Tier 3 only.conversation-collapse.conversation-list-item.no-search-highlight-text","1,855"
"root.phone__tab.phone__leftPanel.phone__leftPanel.recent-inbound.recent-inbound-list","1,855"
"root.inboxTab__tab.inboxTab__leftPanel.inboxTab__leftPanel.sms-all.sms-all-list.virtualized-list.sms-item.phone__item--primaryInfo.phone__contact--primaryInfo.contact-source-icon","1,844"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_LEFT_RAIL_Panel.leftRail.folder-Social Stuff.Social Stuff.Social Stuff-header","1,837"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_LEFT_RAIL_Panel.leftRail.folder-Social Stuff.Social Stuff.conversation-collapse.conversation-list-item.no-search-highlight-text","1,837"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_LEFT_RAIL_Panel.leftRail.folder-REGRESSION.REGRESSION.conversation-collapse.conversation-list-item.no-search-highlight-text","1,816"
"root.doubleConfirmDialog.DialogActions.doubleConfirmDialogCancelButton","1,816"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_LEFT_RAIL_Panel.leftRail.folder-CUST Teams.CUST Teams.conversation-collapse.conversation-list-item","1,811"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_LEFT_RAIL_Panel.leftRail.folder-Global.Global.conversation-collapse.conversation-list-item","1,784"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_LEFT_RAIL_Panel.leftRail.folder-Accenture.Accenture.conversation-collapse.conversation-list-item.no-search-highlight-text","1,782"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_LEFT_RAIL_Panel.leftRail.folder-Revenue Common groups.Revenue Common groups.conversation-collapse.conversation-list-item.no-search-highlight-text","1,768"
"root.necf-dialog.e911-nickname","1,766"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_LEFT_RAIL_Panel.leftRail.folder-Support.Support.conversation-collapse","1,764"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_LEFT_RAIL_Panel.leftRail.folder-Team KALAM.Team KALAM.conversation-collapse.conversation-list-item","1,752"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_CONTENT_PANEL_Panel.messagePanel.chat-stream-wrapper.chat-stream.virtualized-list.styled-conversation-card.linkItemsWrapper.linkItemTitle","1,732"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_LEFT_RAIL_Panel.leftRail.folder-P1: Temp.P1: Temp.conversation-collapse.conversation-list-item","1,708"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_LEFT_RAIL_Panel.leftRail.folder-P1: Temp.P1: Temp.conversation-collapse.conversation-list-item.no-search-highlight-text","1,708"
"root.phone__tab.phone__leftPanel.phone__leftPanel.62994921012.voicemail-62994921012-unread.voicemail-62994921012-unread-list.virtualized-list.voicemail-item.phone__item--primaryInfo.phone__contact--primaryInfo.no-search-highlight-text","1,704"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_LEFT_RAIL_Panel.leftRail.folder-Incident Commander.Incident Commander.conversation-collapse.conversation-list-item","1,696"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_LEFT_RAIL_Panel.leftRail.folder-Jupiter deployment.Jupiter deployment.Jupiter deployment-header","1,696"
"root.callSwitchDialog.DialogActions","1,695"
"root.callSwitchDialog.DialogActions.callSwitchCancelButton","1,695"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_LEFT_RAIL_Panel.leftRail.folder-Dallas/Bill Gay.Dallas/Bill Gay.conversation-collapse.conversation-list-item.no-search-highlight-text","1,680"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_LEFT_RAIL_Panel.leftRail.folder-Main Chat.Main Chat.conversation-collapse.conversation-list-item","1,680"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_LEFT_RAIL_Panel.leftRail.folder-Main Chat.Main Chat.conversation-collapse.conversation-list-item.no-search-highlight-text","1,680"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_LEFT_RAIL_Panel.leftRail.folder-Solution Engineers.Solution Engineers.Solution Engineers-header","1,680"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_LEFT_RAIL_Panel.leftRail.folder-NABOO.NABOO.conversation-collapse.conversation-list-item.no-search-highlight-text","1,672"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_LEFT_RAIL_Panel.leftRail.folder-PAM Training 2023.PAM Training 2023.conversation-collapse.conversation-list-item.no-search-highlight-text","1,670"
"root.top-banner-container.switch-meeting-banner","1,669"
"root.SMSTemplateDialog.DialogContent","1,647"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_LEFT_RAIL_Panel.leftRail.folder-Technology.Technology.conversation-collapse.conversation-list-item.no-search-highlight-text","1,632"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_LEFT_RAIL_Panel.leftRail.folder-SMBx.SMBx.SMBx-header","1,624"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_LEFT_RAIL_Panel.leftRail.folder-Encompass Team.Encompass Team.conversation-collapse.conversation-list-item.no-search-highlight-text","1,616"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_LEFT_RAIL_Panel.leftRail.folder-Extra.Extra.conversation-collapse.conversation-list-item","1,616"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_LEFT_RAIL_Panel.leftRail.folder-Important groups.Important groups.conversation-collapse.conversation-list-item","1,616"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_LEFT_RAIL_Panel.leftRail.folder-ALL - LEADERS GC.ALL - LEADERS GC.conversation-collapse.conversation-list-item.no-search-highlight-text","1,584"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_LEFT_RAIL_Panel.leftRail.folder-AWS.AWS.AWS-header.conversation-list-section-header-arrow-up","1,584"
